gene,log2FC,mean_responder,mean_nonresponder,statistic,p_value,fdr
ETS2,-0.397,12.15,12.547,5483.0,0.00018194474055362829,0.011797768686083879
S100A2,-1.505,7.7501,9.2551,5518.0,0.00022710642165830878,0.013829793659766405
NOTCH3,-0.3379,13.3094,13.6473,5546.0,0.00027060149626092876,0.014738307961593053
PDLIM7,-0.5255,8.4514,8.9769,5549.0,0.00027569874953144223,0.014738307961593053
TGFBR2,-0.4187,11.9706,12.3893,5556.0,0.0002879443968249758,0.015048317992278402
IGFBP4,-0.5214,9.5862,10.1077,5562.0,0.00029884437922452335,0.015388288144921596
DFNA5,-0.5727,8.7084,9.2811,5567.0,0.0003082216621085479,0.015458826213371782
SLC20A2,-0.3391,10.1035,10.4426,5570.0,0.00031397954266896845,0.015458826213371782
HSPG2,-0.409,14.5924,15.0014,5572.0,0.0003178739075718316,0.015458826213371782
NID1,-0.4762,11.6331,12.1093,5575.0,0.0003238003182906332,0.015511102777316483
ZYX,-0.313,11.0967,11.4097,5575.0,0.0003238003182906332,0.015511102777316483
JAG2,-0.4601,10.208,10.6681,5577.0,0.00032780854077435944,0.015511102777316483
ATXN1,-0.4015,10.0287,10.4302,5577.0,0.00032780854077435944,0.015511102777316483
DUSP7,-0.4608,8.4394,8.9002,5584.0,0.00034220595477749176,0.015863194352546746
PRICKLE2,-0.4887,9.2933,9.7819,5588.0,0.0003506964918510773,0.015947581379435676
CNN2,-0.4046,10.963,11.3677,5606.0,0.0003913995738478768,0.01681505345813412
SLIT3,-0.6523,10.8751,11.5273,5608.0,0.00039618503792547907,0.01681505345813412
SHROOM4,-0.4284,11.109,11.5375,5609.0,0.0003985982181371909,0.016815562178402094
CFH,-0.5506,13.6836,14.2343,5614.0,0.0004108714705785202,0.017126981597984387
