gene,log2FC,p_value,ranking_metric
CDC20,0.5371,0.001264871172860219,2.8979537051324544
ALG10,0.1887,0.0012719647538009151,2.895524922840003
ATAD2,0.357,0.0012862622161819116,2.8906704875296465
HIST1H2BN,0.3984,0.0013226573478699916,2.8785526510532202
ATXN7L3B,0.2046,0.0013300494494669884,2.8761322122423705
CNOT10,0.2027,0.0013300494494669884,2.8761322122423705
CENPO,0.3287,0.0013300494494669884,2.8761322122423705
ZGRF1,0.2679,0.0013600006513611487,2.8664608836279553
KRT18,0.562,0.001367585042234699,2.864045657883089
KIF20A,0.4337,0.0013905729106534026,2.8568062352325385
HENMT1,0.1922,0.0013905729106534026,2.8568062352325385
PEPD,0.2826,0.0014060955535291674,2.851985165119632
MPHOSPH9,0.2245,0.0014060955535291674,2.851985165119632
HIST1H1C,0.2615,0.001413916643215642,2.8495761934093973
HIST1H2BJ,0.3935,0.001429679281558565,2.8447613764308546
TACC3,0.3571,0.0014536271761419958,2.837546966314922
HMGN1,0.2724,0.0014616916066757806,2.835144246835666
TRMT1L,0.2083,0.0014861329408388327,2.8279423393706606
TROAP,0.4688,0.0014943633680026098,2.825543787038312
KRT8,0.592,0.00150263577241284,2.8231462763663706
KIAA0101,0.3753,0.0015109503468279909,2.820749807304211
RAD18,0.2767,0.0015277067805375352,2.815959993806507
HIST1H2BD,0.3324,0.0015617342546711305,2.8063928638957325
EXOSC2,0.2435,0.0015703494809757848,2.804003684680565
RBBP4,0.1839,0.0015790084471190983,2.8016155466684634
HIST1H2BH,0.4736,0.0015964583986544526,2.7968423940491913
IFT74,0.2267,0.0016140857166321817,2.792073405628887
CENPE,0.3367,0.0016498789448035089,2.7825479197451934
MTAP,0.5913,0.0016772015948374663,2.7754147333011536
HMCES,0.1865,0.0016772015948374663,2.7754147333011536
KIF20B,0.2851,0.001742580902946448,2.758807049736366
ANLN,0.4755,0.0017521097855714971,2.7564386848265605
GLB1L2,0.6852,0.0017713114277656194,2.7517050754730326
NR1D2,0.2609,0.0017809846200832634,2.749339830925196
PSMB2,0.2012,0.001800476835325535,2.744612461826721
TOP3A,0.2057,0.0018102962960448946,2.7422503371716695
GBA,0.2381,0.0018300830245183786,2.737529207388538
C12orf29,0.2221,0.0018400507351591256,2.7351702021557487
HIST1H3F,0.4724,0.0019425073699350687,2.7116373247967727
IQGAP3,0.4904,0.001974250570048233,2.7045977279160054
FECH,0.1999,0.0019956764915536494,2.699909858499634
RFWD3,0.2496,0.002039169908967428,2.6905465861626716
HMMR,0.4064,0.002061241214598148,2.6858711823891115
NCAPD3,0.2368,0.0020723588571427906,2.683535038414073
NOMO2,0.2597,0.002083531482122367,2.681199932975493
HIST1H2BI,0.3745,0.0021060426527218287,2.676532837493291
RABGAP1L,0.2176,0.002174921215504041,2.6625564703376483
DAPK1,0.362,0.002174921215504041,2.6625564703376483
CLSPN,0.4401,0.002198335705103795,2.657905986279461
HLTF,0.2916,0.00221012938493385,2.6555823011936157
LSM3,0.3004,0.00221012938493385,2.6555823011936157
SEC11C,0.328,0.0022219810255941106,2.6532596539977433
TFAP2C,0.4661,0.002233890881375073,2.6509380446376336
SF3B4,0.2204,0.0022699722966067096,2.643979443029015
B4GALT3,0.2854,0.002282117574807131,2.641661984468828
BRCA2,0.3379,0.002294322353878129,2.639345563472577
RRM2,0.4834,0.002294322353878129,2.639345563472577
HIST1H4B,0.311,0.002306586893848067,2.637030179985741
DLGAP5,0.4195,0.002306586893848067,2.637030179985741
PAX6,1.3113,0.0023131183126071397,2.6358021531358538
CCT8,0.2201,0.002318911455711082,2.6347158339537473
CEP89,0.271,0.002343741693938083,2.6300902540357254
ORC6,0.3853,0.002343741693938083,2.6300902540357254
RAD1,0.2364,0.00241970037892175,2.6162384075059104
CBX2,0.5972,0.002445516393145039,2.611629421606318
SEPHS1,0.2483,0.002458518700380512,2.6093264839606904
NTAN1,0.331,0.002458518700380512,2.6093264839606904
NSDHL,0.2109,0.002458518700380512,2.6093264839606904
GMPS,0.2106,0.0024715842377604456,2.6070245831109182
PDCD6,0.2288,0.002484713279082215,2.604723719001743
TRAFD1,0.2177,0.002524484179749809,2.5978273465644106
GAS2L3,0.3283,0.002524484179749809,2.5978273465644106
ARHGAP11A,0.3651,0.0025513206981657333,2.5932349476270358
MED8,0.1833,0.0025648365693041937,2.590940302798026
MRPL9,0.2497,0.002578417889234546,2.5886466943213127
LIG1,0.2642,0.002605778004126296,2.5840625862019713
HN1,0.3096,0.0026894586502655134,2.5703351284966796
HIST1H3G,0.4825,0.0026894586502655134,2.5703351284966796
ASPM,0.4472,0.0027036418188809246,2.568050844678328
PSMA4,0.2041,0.0027036418188809246,2.568050844678328
CTPS1,0.3279,0.0027466023812330984,2.5612042077564503
PFDN2,0.2854,0.0027610605653522508,2.558924066772621
ALDH5A1,0.4481,0.0028195911713889896,2.5498138579506118
RAD51C,0.2779,0.0028343997809336754,2.547538894240819
KRTCAP2,0.2052,0.002849279373697452,2.545264965816075
PSAT1,0.4919,0.002894347075541202,2.5384493916847024
UNG,0.2431,0.002894347075541202,2.5384493916847024
GPN3,0.213,0.002894347075541202,2.5384493916847024
STIL,0.3508,0.002940064559096297,2.5316431330737457
ORC1,0.3696,0.0030020463294225764,2.522582609741877
DARS2,0.2117,0.0030652179424339866,2.51353864093955
VBP1,0.2655,0.0031133896258267717,2.506766526038309
PSMD7,0.2322,0.0031133896258267717,2.506766526038309
C12orf65,0.2113,0.003178692236291754,2.4977515188139323
DKC1,0.2433,0.0032118095153782426,2.4932502195805357
ATP5J,0.2131,0.003245240924165873,2.4887530559817015
TMED3,0.244,0.0032620752493639823,2.4865060249000943
FLAD1,0.2207,0.003278989095885603,2.484260027552833
ATP6AP1,0.1743,0.0033647628100200756,2.4730455447921815
SHCBP1,0.3835,0.0033647628100200756,2.4730455447921815
SLC37A1,0.3707,0.0033996406554160207,2.468566985786432
HIST1H3D,0.3541,0.0033996406554160207,2.468566985786432
WDR62,0.467,0.0033996406554160207,2.468566985786432
HIST1H4H,0.2918,0.0034348473425203736,2.4640925598487606
CDKN2A,1.1484,0.0034525601468601863,2.4618587468631756
GDPD3,0.5888,0.003524320742158165,2.452924574093518
KSR2,0.7302,0.0035423928264944936,2.4507032802664264
SPINT2,0.4063,0.003542467905460176,2.4506940757437867
CDC45,0.381,0.003542467905460176,2.4506940757437867
CHMP4B,0.2166,0.003634485371913935,2.439557074752842
CPSF6,0.3157,0.00365314766829398,2.437332772291494
WDR76,0.3714,0.00365314766829398,2.437332772291494
SNRPG,0.1967,0.0036718970623848945,2.4351095022705898
HIST1H3I,0.4004,0.0037286714185429067,2.428445886255509
HIST1H2AL,0.4266,0.003747772797212508,2.426226745401059
